Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                    ;Bundesland                        
         4605;       277;    50.64;    11.19;Schwarzburg                             ;Thüringen                         
         4625;        59;    53.64;    11.39;Schwerin                                ;Mecklenburg-Vorpommern            
         4642;        21;    52.89;    11.73;Seehausen                               ;Sachsen-Anhalt                    
         4651;       186;    51.90;    10.19;Seesen                                  ;Niedersachsen                     
         4692;       229;    50.85;     8.00;Siegen (Kläranlage)                     ;Nordrhein-Westfalen               
         4703;       580;    48.07;     9.19;Sigmaringen-Laiz                        ;Baden-Württemberg                 
         4704;       507;    47.58;     9.74;Sigmarszell-Zeisertsweiler              ;Bayern                            
         4706;       360;    48.27;    13.03;Simbach/Inn                             ;Bayern                            
         4709;       445;    50.00;     7.60;Simmern-Wahlbach                        ;Rheinland-Pfalz                   
         4745;        76;    52.96;     9.79;Soltau                                  ;Niedersachsen                     
         4763;       265;    51.06;     9.93;Sontra                                  ;Hessen                            
         4841;         1;    53.70;     8.87;Steinau, Kr. Cuxhaven                   ;Niedersachsen                     
         4857;         1;    53.55;     9.61;Mittelnkirchen-Hohenfelde               ;Niedersachsen                     
         4887;       734;    48.67;     9.86;Stötten                                 ;Baden-Württemberg                 
         4896;        40;    54.67;     9.80;Wagersrott                              ;Schleswig-Holstein                
         4911;       350;    48.83;    12.56;Straubing                               ;Bayern                            
         4928;       314;    48.83;     9.20;Stuttgart (Schnarrenberg)               ;Baden-Württemberg                 
         4931;       371;    48.69;     9.22;Stuttgart-Echterdingen                  ;Baden-Württemberg                 
